,Z01,Z02,Z03,Z04,Z05,Z06,Z07,Z08,Z09,Z10,Z11,Z12,Z13,Z14,Z15,Z16,Z17,Z18,Z19,Z20,Z21,Z22,Z23,Z24,Z25,Z26,Z27
Z16,42.37921276818422,47.61652609325024,54.431947966210906,52.11143867944014,58.990871861605896,76.72647198381176,42.5652481772795,64.446735711185,55.36988228615381,44.765253840390876,37.366403835796014,46.76959483852063,47.29682066681696,36.96687898154775,37.00717004416471,0.0,74.78987076573863,95.06546236126454,129.90061967319397,79.2478069954421,78.02267347743512,50.80166299763468,155.22813344806787,75.02077376257972,440.61422748475184,541.9904923719922,397.47320459963674
Z17,63.61446231388844,77.25229917290912,75.91640635965456,71.66993464694738,76.63433925516635,98.75187639604326,61.95702544360992,77.735637195656,60.427014795983006,65.12280449233496,63.583640690523964,75.00634333006036,66.92886709221726,43.002903030158656,50.265606375523895,74.78987076573863,0.0,108.55110545518399,142.57776319857786,83.38983205315394,83.69045027942907,59.94057601482505,176.302016503241,96.97109657642352,457.34136708141335,558.7211206078022,413.3356367623868
Z18,90.55802293182289,101.16767682465752,105.24446649205478,101.72079239898218,107.27218612017207,127.31460449207884,90.58588304316316,107.7587879500295,94.03938079353595,90.98362149366754,88.62922998052883,99.42992804690482,94.3905673843299,73.76233123586513,73.53361888737031,95.06546236126454,108.55110545518399,0.0,157.70744723292222,107.52692866954457,119.15627972536217,94.15585872378229,189.99214776658084,126.56078659192951,490.26424757709583,574.6271983283301,429.6692593706208
Z19,126.19808186308083,136.44570394473322,140.88802836600397,137.37058185978586,142.901326606391,162.95118728433246,126.23666173630203,143.3057064041243,129.06750480587058,126.62428785266191,124.13533838174405,134.82627569713986,130.0412225236699,108.86439121014827,109.13065260078294,129.90061967319397,142.57776319857786,157.70744723292222,0.0,139.03258297292697,153.98176160891515,129.35763188625353,217.14652438919805,162.19598822782206,525.8390072432912,600.2851411632809,455.2522864087197
Z20,71.82047692367429,84.1437034423891,85.79237017661376,81.79169445374177,86.92262883732545,108.168464780148,71.13252870977757,87.20223113011002,71.2158523822926,72.50370212441001,70.92407571474607,82.10257162718177,75.33557448793844,51.73228578951854,54.84986482213996,79.2478069954421,83.38983205315394,107.52692866954457,139.03258297292697,0.0,95.12306051698602,71.30089733043522,173.0200835241987,107.08826682484312,468.6449840866174,554.0970024673608,408.7214213991953
Z21,61.733117722871796,74.64137645537458,62.23754353066694,58.009916982106716,63.679562807115914,88.49948256077481,56.56833243006358,76.82442965435774,62.71869584789295,66.56043253118015,61.87432980225809,72.80736188863679,65.36217366143529,50.41862539183394,58.40463659139139,78.02267347743512,83.69045027942907,119.15627972536217,153.98176160891515,95.12306051698602,0.0,41.12722561231096,187.0068549435217,80.63715595301073,435.6628564880249,570.4398337144328,424.9544113808703
Z22,34.18294574235965,46.33134621657476,33.00960163107669,28.7539380636495,34.468034529039166,59.37064481176968,28.51371149716721,50.32051338289079,37.898142959097335,39.66560283717082,33.98999915725232,44.685029338475495,38.01244934672019,25.49368123359909,32.93691359830518,50.80166299763468,59.94057601482505,94.15585872378229,129.35763188625353,71.30089733043522,41.12722561231096,0.0,161.61789745786658,51.84924584835514,409.27180437750775,546.4154855917441,401.19638377416265
Z23,155.4699951728113,162.22258583777958,169.1594435912995,166.53451406478962,172.82239320730258,191.34202060306933,155.88472482238518,174.56639551572496,161.8585740772387,156.26165274272068,151.79776615374504,161.5305274735358,159.77055604322294,141.59286464086023,140.73103486219267,155.22813344806787,176.302016503241,189.99214776658084,217.14652438919805,173.0200835241987,187.0068549435217,161.61789745786658,0.0,189.74515152591675,555.3547155236179,604.8286227301395,460.2792261290598
Z24,61.703753508696586,65.41221741744279,41.105516770785954,44.85618406918025,57.91641856302531,76.8682513683013,55.88011448475538,82.96578196280986,74.11447272597097,68.80109173706232,57.944847825232316,66.19617834826803,66.73090479659488,60.3835232368955,65.33248436728653,75.02077376257972,96.97109657642352,126.56078659192951,162.19598822782206,107.08826682484312,80.63715595301073,51.84924584835514,189.74515152591675,0.0,400.45727539291016,576.2991414874425,431.8733539046167
Z25,425.98611508642176,431.2084457284485,405.94850162695855,408.5015292157579,420.6634569357834,441.65670534008814,419.72622627345004,445.61317407964646,435.03895449972515,432.9578220883901,423.10170767242425,431.72969935353876,430.7039663209936,422.33736723659104,428.75092367575024,440.61422748475184,457.34136708141335,490.26424757709583,525.8390072432912,468.6449840866174,435.6628564880249,409.27180437750775,555.3547155236179,400.45727539291016,0.0,942.1411989323234,797.5922119889073
