,Z01,Z02,Z03,Z04,Z05,Z06,Z07,Z08,Z09,Z10,Z11,Z12,Z13,Z14,Z15,Z16,Z17,Z18,Z19,Z20,Z21,Z22,Z23,Z24,Z25,Z26,Z27
Z11,18.679119620259918,22.42005513138183,71.53500936974962,61.88093739652228,53.50139667865118,45.340312918426164,26.54116936304324,38.16481580094846,57.34068049593784,25.79441078369157,5.0,13.709948377735275,22.86128505092005,56.48564979702079,52.58663418912217,33.34147945223488,73.60864966907488,73.56369514195495,92.65387177572755,88.70774540617809,87.44810608193899,75.3118590760732,131.91535508941706,123.87353308206363,579.0045604315809,863.9684291988473,1472.1247110775794
Z12,27.11072076939745,13.710106760226095,69.32045557535727,61.689514859810544,55.61202222347459,44.196725759051965,32.58177217330572,46.73967052002459,66.0248689145364,34.1919560524436,13.709948377735275,5.0,31.394165009439877,65.0267252159642,60.07445826140306,34.19195605243909,82.22038667741843,79.7849832024664,98.45333420502092,96.38096244370334,94.17797194481378,81.12705095050711,134.03241565324808,120.29725176032613,576.8758396389304,865.9629157707508,1474.3726446512526
Z13,9.354835454146702,40.01456786010882,75.16820486791201,62.06022270786922,49.60207311384176,49.01184439050658,18.863040208218667,20.348194222201215,39.837253940613806,16.150053993599833,22.86128505092005,31.394165009439877,5.0,41.34873300522596,42.85440823660271,42.71157542077069,57.67095496803773,66.91144664509663,86.55713623323118,76.86788177992177,72.05850984495767,61.976828343738326,133.76202202770904,128.8456970409319,579.427224953832,864.5118731487771,1472.0185442296631
Z14,45.34362455165267,73.6103546678152,107.78922747889139,92.65412052428552,77.63787351393292,83.07431068802232,52.09716481522002,29.90766356838062,20.346750153007108,35.887752324242484,56.48564979702079,65.0267252159642,41.34873300522596,5.0,23.528329480144528,59.709194553716216,22.417193986263232,44.33130666458476,61.86866973603015,42.85420650938622,71.32540563419538,70.5624870872923,120.59966185574626,161.14884136234184,603.9702391803041,843.3675963153709,1449.4734447474111
Z15,45.58929340988207,67.87784684790071,112.98230640315207,99.35750589527773,85.6883189930227,86.8610139971302,56.28233064916127,38.449044059650454,37.89120788409478,33.021121514428756,52.58663418912217,60.07445826140306,42.85440823660271,23.528329480144528,5.0,46.376364271457305,36.84108541809577,29.96465935138651,49.404274439878456,41.34781626871309,88.52906842723718,85.68017631894459,103.79985735992335,166.68070388956764,615.1307425020113,830.246684117014,1437.062095168613
Z16,40.73265637792125,37.446963462727815,98.48111729884904,90.00045590612231,81.74636715760087,72.96252315162978,52.87585748943296,53.71405249001131,67.84822073098687,35.44628287215483,33.34147945223488,34.19195605243909,42.71157542077069,59.709194553716216,46.376364271457305,5.0,76.43496492802485,58.05825455545644,74.56987406177767,80.4562221607036,109.267642234862,99.68062566782451,104.85796240611624,149.25789518371982,606.0668127194352,836.7731255389211,1445.1844851644114
Z17,61.85336556400337,90.85203760283171,120.55957029192977,104.67717094854548,89.06336454328736,97.11990594240501,66.91184968027457,44.29585540155011,26.794205622333596,53.193874741041114,73.60864966907488,82.22038667741843,57.67095496803773,22.417193986263232,36.84108541809577,76.43496492802485,5.0,49.39616247585583,62.80060716976589,35.88532351057968,70.56041695492036,74.3134532933436,125.35851802074544,173.12672908657362,609.8622366111572,840.5819567497234,1445.656719702277
Z18,69.1025753559854,86.46352462280454,136.97273900225076,123.86815011863862,110.51022344166093,110.59179859140315,80.63788708788955,63.380352776709614,59.67254981441804,56.28195220255316,73.56369514195495,79.7849832024664,66.91144664509663,44.33130666458476,29.96465935138651,58.05825455545644,49.39616247585583,5.0,24.64746773853889,32.34890694368738,110.56187557607363,109.50888916062887,81.67297970487365,190.54537734765418,640.0907933842884,805.4126048183394,1412.1304814569787
Z19,88.70754226207896,104.67715358788406,156.59116819790287,143.5105127853394,130.07322926485946,130.18340621818595,100.28405151023148,82.62736804507816,76.92576683602209,75.88925353681033,92.65387177572755,98.45333420502092,86.55713623323118,61.86866973603015,49.404274439878456,74.56987406177767,62.80060716976589,24.64746773853889,5.0,36.06478939755331,127.03631108314421,127.429463700405,68.66630479736762,210.13167700097083,659.4448062521026,786.6549294719582,1393.084894420736
Z20,80.27900245346925,104.22544651778884,145.40305119327752,130.46527957553437,115.49146995403083,120.19794400376314,89.06336454328626,67.56607165640737,55.14598571569464,68.44847383381455,88.70774540617809,96.38096244370334,76.86788177992177,42.85420650938622,41.34781626871309,80.4562221607036,35.88532351057968,32.34890694368738,36.06478939755331,5.0,101.38630370797715,104.86152379735005,99.63439554922476,198.8971994107888,640.1923846673284,809.6996324814534,1414.8124531661836
Z21,75.03167284472732,101.22647600517318,88.39839571692212,72.58842092594571,59.68495331462649,78.127122009926,66.61093557245302,61.20253252040748,56.010023217049905,79.127449383587,87.44810608193899,94.17797194481378,72.05850984495767,71.32540563419538,88.52906842723718,109.267642234862,70.56041695492036,110.56187557607363,127.03631108314421,101.38630370797715,5.0,22.419738239685202,186.90725420606304,130.7617261251477,546.9573176866876,906.0271524370913,1510.7178380626488
Z22,64.17964345142522,87.45420703100079,71.09846624245712,55.18074133975668,42.4481036404879,61.20806338869003,53.82023961704687,54.371407420690794,55.64829464681529,70.79399034625655,75.3118590760732,81.12705095050711,61.976828343738326,70.5624870872923,85.68017631894459,99.68062566782451,74.3134532933436,109.50888916062887,127.429463700405,104.86152379735005,22.419738239685202,5.0,184.36106875378022,115.15289923513748,540.5599450486604,908.725348066013,1514.4395399882815
Z23,134.1544994070427,136.6922252883363,198.19307388111662,188.5424837239023,178.0149716073035,172.2442520252136,147.17660387411922,135.71746356585683,135.89732336296586,122.74069126499651,131.91535508941706,134.03241565324808,133.76202202770904,120.59966185574626,103.79985735992335,104.85796240611624,125.35851802074544,81.67297970487365,68.66630479736762,99.63439554922476,186.90725420606304,184.36106875378022,5.0,248.9578693953342,705.828700931122,737.0671293305915,1345.3550903201992
Z24,126.44578771776779,117.28451665358051,58.7120819829365,73.56378550574604,89.06336454328626,84.9536696722514,115.49298512584515,136.33155795099603,151.33252346424007,139.26557583174994,123.87353308206363,120.29725176032613,128.8456970409319,161.14884136234184,166.68070388956764,149.25789518371982,173.12672908657362,190.54537734765418,210.13167700097083,198.8971994107888,130.7617261251477,115.15289923513748,248.9578693953342,5.0,463.184402978078,980.0722420059805,1588.8352494186822
Z25,578.21599818855,574.87272476599,512.6368446610852,522.8858543980007,534.9331172067436,538.6688626770742,565.586627779961,581.8183563760101,590.1979409628984,590.5529682559853,579.0045604315809,576.8758396389304,579.427224953832,603.9702391803041,615.1307425020113,606.0668127194352,609.8622366111572,640.0907933842884,659.4448062521026,640.1923846673284,546.9573176866876,540.5599450486604,705.828700931122,463.184402978078,5.0,1437.836577770145,2046.126113130382
Z26,865.4109241443774,868.0402573369175,930.2258105672735,920.4166008954278,909.1102594021952,904.305193612946,878.2484728516172,863.6787973006863,858.0818249544426,853.3628245950982,863.9684291988473,865.9629157707508,864.5118731487771,843.3675963153709,830.246684117014,836.7731255389211,840.5819567497234,805.4126048183394,786.6549294719582,809.6996324814534,906.0271524370913,908.725348066013,737.0671293305915,980.0722420059805,1437.836577770145,5.0,614.22048949153
Z27,1473.085735431984,1476.6682479860333,1538.5343118320677,1528.310298718787,1516.6042639306834,1512.458307087446,1485.8189134691206,1470.5062464663763,1463.9167970800322,1460.8726871603471,1472.1247110775794,1474.3726446512526,1472.0185442296631,1449.4734447474111,1437.062095168613,1445.1844851644114,1445.656719702277,1412.1304814569787,1393.084894420736,1414.8124531661836,1510.7178380626488,1514.4395399882815,1345.3550903201992,1588.8352494186822,2046.126113130382,614.22048949153,5.0
