,Z01,Z02,Z03,Z04,Z05,Z06,Z07,Z08,Z09,Z10,Z11,Z12,Z13,Z14,Z15,Z16,Z17,Z18,Z19,Z20,Z21,Z22,Z23,Z24,Z25,Z26,Z27
Z11,49.403854350482625,94.76074260608847,192.4716691420315,155.26132179668645,130.37954935752288,129.63996392113796,61.80006896346274,91.06723604553268,65.52179130170053,80.54243119824282,0.0,83.5737818679286,54.894755952066106,52.760537523119105,51.38616948585921,60.60027700572886,86.81751386045683,116.02673065975947,167.11287773453154,137.96224200676295,85.10820297219094,57.22387232718518,312.7794943550977,314.5096276813302,1486.3714452808279,2310.038810548154,3971.5303600145667
Z12,66.91643889959195,107.81302600450925,207.2140807211407,170.53016038672274,146.24739025448926,144.66104538997126,78.69050598561991,108.61709575824848,83.10010008929206,98.04615426827226,83.5737818679286,0.0,72.4336936607596,70.30160772406569,68.6531793874191,76.14022200384024,104.37697049537998,132.96418272152223,183.94056904531405,155.27749191458543,102.1779890539564,74.05565650379509,328.8693567901842,328.5254870009596,1500.9146302217673,2326.084021029038,3987.6678976175244
Z13,31.236043996942655,83.59731307722632,177.67544788480814,139.56637901126112,113.62333589513851,114.85371784080144,44.06059486286013,70.68968483462366,45.225734714233255,62.291336641524786,54.894755952066106,72.4336936607596,0.0,33.08025643534566,33.11221101442782,47.29682066681696,66.92886709221726,98.55419489362768,149.78488870652453,119.13986761002249,65.36217366143529,38.01244934672019,297.7106151845466,300.57932242541756,1470.7838223730043,2294.4951858604136,3955.7500913933263
Z14,29.717058434942935,81.45565855206446,175.28015573702854,136.64362071795745,110.03495021289308,112.83349522370222,41.82483435690257,62.29368239855428,29.270810697433816,56.54375093100451,52.760537523119105,70.30160772406569,33.08025643534566,0.0,17.2000710618558,40.836255165059164,46.87227921367007,81.79533492867432,132.47743357651433,99.40595509511401,54.28800157534536,29.36305741711051,282.0323400294298,301.46348105002943,1468.841076463032,2275.909212492914,3936.6538183466037
Z15,29.421154212849004,79.60420835759635,176.27158780762642,138.02804069051095,111.76988072377813,113.4589826189287,42.55400332746836,64.15635620342495,33.47612194735913,55.43801363202181,51.38616948585921,68.6531793874191,33.11221101442782,17.2000710618558,0.0,37.00717004416471,50.265606375523895,77.69724639666809,128.87431878363753,98.65415794422401,58.40463659139139,32.93691359830518,265.269332527163,303.118831280355,1472.5468601256332,2270.76962335892,3931.772712738306
Z16,42.37921276818422,85.90774362714679,186.72009454821955,149.81507342535164,124.96594410066176,124.06431390645515,55.889400441394685,82.3501490372214,55.49283429770199,70.29082584997963,60.60027700572886,76.14022200384024,47.29682066681696,40.836255165059164,37.00717004416471,0.0,74.78987076573863,99.22908987056232,149.64428585604855,123.05210011752615,78.02267347743512,50.80166299763468,279.7664311130382,310.9937263001416,1483.4667753246113,2287.3688880681034,3948.9533587136925
Z17,63.61446231388844,115.54351670680568,220.23218168633346,169.37356939285894,142.6094114942222,146.08971831868666,75.2811777077251,95.63905052169241,60.54996680753119,90.64837650192369,86.81751386045683,104.37697049537998,66.92886709221726,46.87227921367007,50.265606375523895,74.78987076573863,0.0,112.71473296448177,162.32142938143247,127.19412517523799,83.69045027942907,59.94057601482505,313.36742522751337,335.4283563161191,1500.588948836534,2304.495945674833,3964.864941818139
Z18,94.72165044112069,143.62252186785184,255.43217872441176,215.9600457889886,177.41088586852572,178.81607392402003,108.0736628165761,129.8258287853637,98.32596031438192,120.67282101255407,116.02673065975947,132.96418272152223,98.55419489362768,81.79533492867432,77.69724639666809,99.22908987056232,112.71473296448177,0.0,181.61474092507459,155.4948493009264,123.31990723465995,98.31948623308007,318.6940729408489,370.9946351905456,1540.8216943832074,2320.90516733629,3981.8727263223846
Z19,145.94174804593544,194.48058766148435,308.6976974126897,269.2342830988629,241.6378909313787,243.06198869009063,159.30448018327183,180.95278591301533,148.9341230002734,171.8935260451053,167.11287773453154,183.94056904531405,149.78488870652453,132.47743357651433,128.87431878363753,149.64428585604855,162.32142938143247,181.61474092507459,0.0,202.58054227786562,186.42716629226027,161.843956535885,361.428488237023,424.24844954554425,1593.99088998063,2360.1908193699705,4021.0534962404718
Z20,115.62477004575834,166.2392140983697,276.4981886783741,236.35825346123175,196.70199419846537,211.30058991506303,128.26097409597682,148.90993757823048,115.14309751592482,141.8335672560828,137.96224200676295,155.27749191458543,119.13986761002249,99.40595509511401,98.65415794422401,123.05210011752615,127.19412517523799,155.4948493009264,202.58054227786562,0.0,138.92735363907008,115.10519045251927,341.36267431125304,392.0320523122043,1558.8536702921172,2340.461837926513,4000.844697957968
Z21,61.733117722871796,112.93259398927114,194.52569011267556,155.71355172801827,129.6546350461718,135.83732448341823,69.89248469417876,94.72784298039417,62.84164785944113,92.0860045407689,85.10820297219094,102.1779890539564,65.36217366143529,54.28800157534536,58.40463659139139,78.02267347743512,83.69045027942907,123.31990723465995,186.42716629226027,138.92735363907008,0.0,41.12722561231096,330.4783566176945,314.6849970171294,1472.3631915795781,2323.0263015979044,3983.2553838578037
Z22,34.18294574235965,84.6225637504713,165.29774821308533,126.45757280956103,100.44310676809502,106.70848673441307,41.8378637612824,68.22392670892722,38.02109497064552,65.19117484675958,57.22387232718518,74.05565650379509,38.01244934672019,29.36305741711051,32.93691359830518,50.80166299763468,59.94057601482505,98.31948623308007,161.843956535885,115.10519045251927,41.12722561231096,0.0,304.8243879931283,272.80760113210124,1445.306290480205,2299.282786081491,3959.884717063764
Z23,293.45090400055545,338.75884285237123,446.0937383850885,407.8798478428531,381.3434438296399,380.62521499330734,308.5451478077565,330.6133935309331,300.14383087929036,318.5801657938406,312.7794943550977,328.8693567901842,297.7106151845466,282.0323400294298,265.269332527163,279.7664311130382,313.36742522751337,318.6940729408489,361.428488237023,341.36267431125304,330.4783566176945,304.8243879931283,0.0,560.6333378198618,1733.1289412300723,2464.367753220558,4125.907271505933
Z24,295.30238465694504,336.34854605004995,394.3520186365407,363.51817409883785,344.84984608582727,345.1644485746908,290.1626220326167,335.4967535430021,310.4263079736657,329.2595993720691,314.5096276813302,328.5254870009596,300.57932242541756,301.46348105002943,303.118831280355,310.9937263001416,335.4283563161191,370.9946351905456,424.24844954554425,392.0320523122043,314.6849970171294,272.80760113210124,560.6333378198618,0.0,1649.3967440332317,2557.5506984669323,4219.263269377863
Z25,1465.939904679189,1509.1054794988868,1571.3648524345904,1540.4001018537879,1522.0873658490923,1524.8322064247127,1471.6896826388263,1503.845316320002,1476.3627962703506,1499.7212356773568,1486.3714452808279,1500.9146302217673,1470.7838223730043,1468.841076463032,1472.5468601256332,1483.4667753246113,1500.588948836534,1540.8216943832074,1593.99088998063,1558.8536702921172,1472.3631915795781,1445.306290480205,1733.1289412300723,1649.3967440332317,0.0,3730.3717927031944,5391.911884509299
Z26,2290.4200122080624,2335.7613222946893,2443.345645945381,2405.0739725799585,2378.2538521509714,2377.8873971963158,2305.447024988466,2326.382147158956,2293.8081670836636,2315.3182107029984,2310.038810548154,2326.084021029038,2294.4951858604136,2275.909212492914,2270.76962335892,2287.3688880681034,2304.495945674833,2320.90516733629,2360.1908193699705,2340.461837926513,2323.0263015979044,2299.282786081491,2464.367753220558,2557.5506984669323,3730.3717927031944,0.0,5590.1482204001095
Z27,3951.7361688162796,3997.4247085274565,4104.892646759574,4066.4698664262005,4039.5041434397954,4039.377792458331,3966.7251608525744,3987.389621851333,3954.454096568575,3976.574278848072,3971.5303600145667,3987.6678976175244,3955.7500913933263,3936.6538183466037,3931.772712738306,3948.9533587136925,3964.864941818139,3981.8727263223846,4021.0534962404718,4000.844697957968,3983.2553838578037,3959.884717063764,4125.907271505933,4219.263269377863,5391.911884509299,5590.1482204001095,0.0
